% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 19.83    0.000093           5        18         6 newfstatat
 15.78    0.000074           5        14           mmap
 12.15    0.000057           8         7         1 openat
  6.61    0.000031           7         4           mprotect
  6.40    0.000030           2        14           rt_sigaction
  4.69    0.000022          22         1           readlink
  3.84    0.000018           3         6           close
  3.20    0.000015           2         6           fstat
  2.99    0.000014           2         6           rt_sigprocmask
  2.56    0.000012           3         4         2 ioctl
  2.35    0.000011          11         1           munmap
  2.13    0.000010           3         3         1 access
  1.49    0.000007           3         2           read
  1.49    0.000007           2         3           getppid
  1.28    0.000006           2         3           brk
  1.28    0.000006           3         2           pread64
  1.28    0.000006           2         3           getpid
  1.28    0.000006           2         3           getuid
  1.28    0.000006           2         3           getgid
  1.28    0.000006           2         3           geteuid
  1.28    0.000006           2         3           getegid
  1.07    0.000005           2         2           prlimit64
  0.64    0.000003           3         1         1 getpeername
  0.64    0.000003           3         1           uname
  0.64    0.000003           3         1           getrandom
  0.43    0.000002           2         1           getpgrp
  0.43    0.000002           2         1           arch_prctl
  0.43    0.000002           2         1           futex
  0.43    0.000002           2         1           set_tid_address
  0.43    0.000002           2         1           set_robust_list
  0.43    0.000002           2         1           rseq
  0.00    0.000000           0         1           execve
------ ----------- ----------- --------- --------- ----------------
100.00    0.000469           3       121        11 total
